VL,BF,TA,MG,Sol,Heel,Toe
0.34386471,0.36074783,0.452306286,0.067241289,0.651656967,0.422760827,0.063345185
0.712046588,0.133799742,0.191591959,-0.060680809,0.629254366,0.422436151,0.062371159
1.678280509,-0.034382104,-0.085356138,-0.196719792,0.212371183,0.422760827,0.062695834
1.742241558,-0.10483666,-0.133083418,0.061721808,0.211072481,0.422760827,0.063345185
2.068540312,-0.297693834,-0.175940568,0.075033498,-0.03113535,0.422111476,0.063020509
2.300683206,-0.62171986,-0.240550968,0.012046475,0.232825731,0.422760827,0.063345185
2.350033863,-0.129836664,-0.184382128,0.069838692,0.550682925,0.421786801,0.062695834
1.69224155,0.201656895,-0.067498992,0.03347505,0.575033579,0.421462125,0.06366986
-0.209706807,0.015293229,0.136072469,0.020488035,0.324059512,0.422760827,0.06366986
-1.424317392,0.003929591,0.293215351,0.155552992,-0.082109384,0.420163424,0.064319211
-0.83730431,0.099708827,0.069189342,0.163020525,-0.336005529,0.420488099,0.06366986
0.492890708,0.085747786,-0.194447064,0.165942604,-0.296395133,0.422760827,0.052955573
0.726332304,-0.007434047,-0.191849661,0.126007532,-0.158083422,0.421786801,0.064319211
0.261072489,-0.061005485,0.032501024,0.040617908,0.048085442,0.420163424,0.068215315
0.022436087,-0.043148339,0.430553036,-0.029836648,0.014968554,0.421786801,0.069514017
0.24061794,0.091267267,0.694838793,0.028604919,-0.036330156,0.390617965,0.069514017
0.263020541,0.293540027,0.529579026,0.18866988,0.156851693,0.421786801,0.066916614
-0.022369115,0.403280304,0.28347509,-0.003862618,0.23996859,0.420812775,0.067565965
-0.730810787,0.338345229,-0.002239241,-0.184057452,-0.097369127,0.419838748,0.068215315
-1.317174517,0.302306262,-0.314576954,-0.116200299,-0.173343165,0.418215372,0.069189342
-1.024317327,0.169514033,-0.416525022,0.026007516,-0.782109496,0.419514073,0.051981547
0.497111488,0.079578954,-0.480486071,0.187695854,-0.345421115,0.419189398,0.070488043
2.239968911,0.191267283,-0.144447056,0.170488059,0.814644007,0.419838748,0.071137394
3.151657368,0.255877683,0.38250108,0.089968566,0.863994664,0.419514073,0.071137394
0.115293245,0.175033514,0.531851753,-0.033408078,0.353929647,0.420488099,0.071137394
-2.064252559,0.030877647,0.394514069,0.068215315,-0.014576906,0.418540047,0.071462069
-0.489252306,-0.018148335,0.032501024,0.052306222,-0.189901609,0.419514073,0.071786745
0.281851713,-0.019447036,-0.084382112,-0.025940544,-0.230810707,0.419189398,0.071137394
-0.264901621,0.046786741,-0.167823683,-0.059706783,-0.071719772,0.419838748,0.071786745
0.120812726,0.240942616,-0.208732781,-0.077563929,-0.166524982,0.418864722,0.071462069
0.287046519,0.322436135,-0.288927599,-0.011979503,-0.304512017,0.418864722,0.071137394
-0.236654863,0.151656887,-0.466849705,0.008799721,-0.378213328,0.418215372,0.072760771
-0.475940616,0.056202326,-0.551914654,-0.076265227,0.859449209,0.420812775,0.072436095
